[2025-08-13 14:10:10,804 - INFO] - Welcome to the online codegnan banking
[2025-08-14 14:04:28,278 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 14:04:31,256 - INFO] - selected operation is 2. withdraw

[2025-08-14 14:04:31,256 - DEBUG] - User in withdraw page
[2025-08-14 14:04:45,070 - INFO] - 2000 withdraw successfully and current balance is 500
[2025-08-14 14:04:53,698 - INFO] - Welcome to the online codegnan Banking
[2025-08-14 14:05:02,646 - INFO] - User credenctials are 12345 and 6789
[2025-08-14 14:05:02,647 - DEBUG] - User in login page
[2025-08-14 14:05:02,647 - INFO] - User successfully logined
[2025-08-14 14:05:02,648 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 14:05:04,655 - INFO] - selected operation is 2. withdraw

[2025-08-14 14:05:04,656 - DEBUG] - User in withdraw page
[2025-08-14 14:05:09,049 - WARNING] - insufficent amount
[2025-08-14 14:36:22,315 - INFO] - Welcome to the online codegnan Banking
[2025-08-14 14:36:31,634 - INFO] - User credenctials are 12345 and 6789
[2025-08-14 14:36:31,635 - DEBUG] - User in login page
[2025-08-14 14:36:31,635 - INFO] - User successfully logined
[2025-08-14 14:36:31,636 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 14:36:33,916 - INFO] - selected operation is 4. Transfer

[2025-08-14 14:36:33,917 - DEBUG] - user in transcation page
[2025-08-14 14:36:44,382 - INFO] - receiver account is123456 and amount is 500
[2025-08-14 14:36:44,382 - WARNING] - 123456 not found
[2025-08-14 14:37:04,391 - INFO] - Welcome to the online codegnan Banking
[2025-08-14 14:37:12,148 - INFO] - User credenctials are 12345 and 6789
[2025-08-14 14:37:12,149 - DEBUG] - User in login page
[2025-08-14 14:37:12,149 - INFO] - User successfully logined
[2025-08-14 14:37:12,153 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 14:37:14,048 - INFO] - selected operation is 4. Transfer

[2025-08-14 14:37:14,049 - DEBUG] - user in transcation page
[2025-08-14 14:37:23,419 - INFO] - receiver account is123456 and amount is 500
[2025-08-14 14:37:23,419 - INFO] - 500 transfer successsfully and current balance is2000
[2025-08-14 14:48:48,783 - INFO] - Welcome to the online codegnan Banking
[2025-08-14 14:48:57,684 - INFO] - User credenctials are 12345 and 6789
[2025-08-14 14:48:57,684 - DEBUG] - User in login page
[2025-08-14 14:48:57,684 - INFO] - User successfully logined
[2025-08-14 14:48:57,685 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 14:49:43,119 - INFO] - selected operation is 1. Balance

[2025-08-14 14:49:43,119 - INFO] - User in balence page
[2025-08-14 14:49:43,120 - INFO] - 12345 user current balance is2500
[2025-08-14 14:49:43,120 - DEBUG] - User in login page
[2025-08-14 14:49:43,120 - INFO] - User successfully logined
[2025-08-14 14:49:43,121 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 14:49:49,344 - INFO] - selected operation is 2. withdraw

[2025-08-14 14:49:49,345 - DEBUG] - User in withdraw page
[2025-08-14 14:49:54,429 - INFO] - 500 withdraw successfully and current balance is 2000
[2025-08-14 14:49:54,430 - DEBUG] - User in login page
[2025-08-14 14:49:54,430 - INFO] - User successfully logined
[2025-08-14 14:49:54,431 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 14:50:04,144 - INFO] - selected operation is 3. deposite

[2025-08-14 14:50:04,145 - DEBUG] - user in deposite page
[2025-08-14 14:50:08,705 - INFO] - 450 deposited successfully and current balance is 2450
[2025-08-14 14:50:08,706 - DEBUG] - User in login page
[2025-08-14 14:50:08,706 - INFO] - User successfully logined
[2025-08-14 14:50:08,707 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 14:50:16,095 - INFO] - selected operation is 1. Balance

[2025-08-14 14:50:16,096 - INFO] - User in balence page
[2025-08-14 14:50:16,096 - INFO] - 12345 user current balance is2450
[2025-08-14 14:50:16,096 - DEBUG] - User in login page
[2025-08-14 14:50:16,096 - INFO] - User successfully logined
[2025-08-14 14:50:16,098 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 14:50:22,046 - INFO] - selected operation is 4. Transfer

[2025-08-14 14:50:22,046 - DEBUG] - user in transcation page
[2025-08-14 14:50:36,800 - INFO] - receiver account is123456 and amount is 2000
[2025-08-14 14:50:36,800 - INFO] - 2000 transfer successsfully and current balance is450
[2025-08-14 14:50:36,801 - DEBUG] - User in login page
[2025-08-14 14:50:36,801 - INFO] - User successfully logined
[2025-08-14 14:50:36,803 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 14:50:42,093 - INFO] - selected operation is 5. History

[2025-08-14 14:50:42,094 - INFO] - User in history page
[2025-08-14 14:50:42,094 - DEBUG] - User in login page
[2025-08-14 14:50:42,094 - INFO] - User successfully logined
[2025-08-14 14:50:42,095 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 14:50:45,163 - INFO] - selected operation is 6.exit

[2025-08-14 14:50:45,163 - INFO] - User in exit page
[2025-08-14 14:52:06,751 - INFO] - Welcome to the online codegnan Banking
[2025-08-14 14:52:16,955 - INFO] - User credenctials are 12345 and 6789
[2025-08-14 14:52:16,956 - DEBUG] - User in login page
[2025-08-14 14:52:16,956 - INFO] - User successfully logined
[2025-08-14 14:52:16,957 - INFO] - ('1. Balance\n', '2. withdraw\n', '3. deposite\n', '4. Transfer\n', '5. History\n', '6.exit\n')
[2025-08-14 14:52:18,497 - INFO] - selected operation is 6.exit

[2025-08-14 14:52:18,498 - INFO] - User in exit page
